geneSymbol	diseaseClass	diseaseClassLabel
FABP5	D002318	1
FADD	D004066	2
FAH	D004066	2
FAM107A	D009369	12
FAM126A	D064419	21
FAM126B	D013568	17
FAM13A	D012140	16
FAM155A	D004066	2
FAM161A	D005128	4
FAM92A	D009358	11
FANCA	D006425	6
FANCB	D006425	6
FANCC	D006425	6
FANCD2	D006425	6
FANCF	D006425	6
FANCG	D006425	6
FANCI	D006425	6
FANCL	D006425	6
FANCM	D006425	6
FARP1	D064419	21
FARP2	D013568	17
FARSB	D012140	16
FAS	D004066	2
FASLG	D002318	1
FASN	D002318	1
FASTKD2	D009750	14
FAT1	D009369	12
FAT4	D009369	12
FBL	D007154	7
FBLN1	D005261	5
FBLN2	D013568	17
FBLN5	D002318	1
FBN1	D009750	14
FBXL19	D017437	19
FBXO21	D013568	17
FBXO38	D009422	13
FBXO7	D009422	13
FBXW7	D009369	12
FCER2	D009422	13
FCGR1A	D009750	14
FCGR2A	D002318	1
FCGR2B	D006425	6
FCGR3B	D009750	14
FCN3	D007154	7
FDFT1	D064419	21
FECH	D013568	17
FERMT2	D005128	4
FERMT3	D013568	17
FETUB	D005261	5
FEV	D002318	1
FEZ2	D002318	1
FEZF1	D004700	3
FGA	D002318	1
FGD1	D013568	17
FGF1	D012140	16
FGF16	D009369	12
FGF17	D004700	3
FGF18	D013568	17
FGF2	D012140	16
FGF21	D004066	2
FGF23	D009750	14
FGF3	D009057	9
FGF7	D012140	16
FGF9	D009369	12
FGFR1	D009369	12
FGFR1OP2	D006425	6
FGFR2	D009369	12
FGFR3	D009369	12
FGFR4	D009369	12
FGFRL1	D009358	11
FH	D009369	12
FHIT	D064419	21
FHL1	D002318	1
FHL2	D009369	12
FHL5	D009422	13
FHOD3	D064419	21
FIG4	D009140	10
FIP1L1	D002318	1
FIS1	D013568	17
FKBP5	D005261	5
FKTN	D002318	1
FLCN	D012140	16
FLG	D017437	19
FLI1	D009369	12
FLNA	D009422	13
FLOT1	D007239	8
FLRT3	D005261	5
FLT1	D013568	17
FLT3	D009369	12
FLT4	D006425	6
FLVCR1	D005128	4
FMC1	D009422	13
FMO2	D005261	5
FMR1	D013568	17
FN1	D012140	16
FOLR1	D009422	13
FOLR2	D004066	2
FOS	D009422	13
FOSB	D009422	13
FOSL2	D009369	12
FOXA1	D004066	2
FOXA2	D012140	16
FOXC1	D005128	4
FOXC2	D006425	6
FOXE3	D005128	4
FOXF1	D012140	16
FOXG1	D009422	13
FOXH1	D009358	11
FOXM1	D009369	12
FOXO1	D009369	12
FOXO3	D012140	16
FOXP2	D009369	12
FOXRED1	D009750	14
FPR1	D009057	9
FPR2	D004066	2
FREM2	D005128	4
FRK	D009750	14
FRMD3	D017437	19
FRS2	D009369	12
FSCN2	D005128	4
FSHB	D004700	3
FST	D005261	5
FSTL1	D013568	17
FTH1	D009750	14
FTL	D009422	13
FUBP1	D009369	12
FURIN	D009369	12
FUS	D009422	13
FUT2	D007239	8
FUT4	D002318	1
FXYD2	D009750	14
FXYD3	D002318	1
FXYD6	D009369	12
FYB1	D006425	6
FYCO1	D005128	4
FYN	D012140	16
FZD4	D005128	4
FZR1	D013568	17
G0S2	D009369	12
G6PC3	D006425	6
G6PD	D007239	8
GAA	D002318	1
GAB2	D009369	12
GABBR1	D064419	21
GABRA1	D009422	13
GABRA2	D064419	21
GABRA5	D009358	11
GABRA6	D064419	21
GABRB1	D012140	16
GABRB2	D009422	13
GABRB3	D009422	13
GABRD	D009422	13
GABRG1	D064419	21
GABRG2	D009422	13
GABRG3	D009358	11
GABRQ	D009422	13
GABRR1	D064419	21
GABRR2	D004066	2
GAD1	D009422	13
GAD2	D064419	21
GADD45A	D017437	19
GADD45B	D017437	19
GAL	D064419	21
GALK1	D005128	4
GALNT3	D009750	14
GALR1	D064419	21
GALR3	D064419	21
GALT	D005128	4
GAN	D009422	13
GAP43	D064419	21
GAPDH	D002318	1
GAPDHS	D009422	13
GAR1	D006425	6
GARS1	D009422	13
GAS2	D009369	12
GAS2L1	D009369	12
GAS6	D002318	1
GAST	D004066	2
GATA1	D006425	6
GATA2	D006425	6
GATA3	D009369	12
GATA4	D013568	17
GATA5	D002318	1
GATA6	D013568	17
GATM	D002318	1
GBA	D009422	13
GBA3	D064419	21
GBP2	D002318	1
GC	D004066	2
GCG	D002318	1
GCGR	D004700	3
GCH1	D009422	13
GCK	D009750	14
GCKR	D009750	14
GCLC	D006425	6
GCLM	D064419	21
GCM2	D004700	3
GDA	D009369	12
GDF1	D009358	11
GDF10	D009369	12
GDF15	D002318	1
GDF3	D009369	12
GDF5	D009140	10
GDNF	D009422	13
GEMIN4	D064419	21
GFAP	D009422	13
GFER	D064419	21
GFI1	D006425	6
GFI1B	D006425	6
GGCX	D006425	6
GGH	D009369	12
GGT1	D009369	12
GH1	D006425	6
GHR	D002318	1
GHRH	D012140	16
GHRL	D002318	1
GHSR	D064419	21
GINS2	D009369	12
GIP	D013568	17
GIPR	D013568	17
GJA1	D013568	17
GJA3	D005128	4
GJA4	D002318	1
GJA5	D002318	1
GJA8	D005128	4
GJB1	D009369	12
GJB2	D005128	4
GJB3	D009422	13
GJB6	D005128	4
GJC1	D002318	1
GJC2	D006425	6
GJD2	D005128	4
GJE1	D009422	13
GK	D002318	1
GKN1	D009369	12
GLA	D002318	1
GLB1	D017437	19
GLI1	D009422	13
GLI2	D009369	12
GLIS2	D009358	11
GLIS3	D005128	4
GLMN	D009369	12
GLO1	D009369	12
GLP1R	D009369	12
GLRA1	D009422	13
GLRX5	D006425	6
GLS	D005261	5
GLUD1	D009750	14
GLUL	D064419	21
GMPR2	D009369	12
GNA11	D009750	14
GNA12	D002318	1
GNAI1	D064419	21
GNAI2	D009369	12
GNAI3	D010038	15
GNAL	D009422	13
GNAO1	D009422	13
GNAQ	D009369	12
GNAS	D009369	12
GNAT1	D005128	4
GNAT2	D005128	4
GNB3	D002318	1
GNG8	D004066	2
GNMT	D004066	2
GNPDA2	D013568	17
GNRH1	D004700	3
GNRHR	D004700	3
GOLGA4	D017437	19
GOPC	D009369	12
GOSR2	D009422	13
GOT2	D013568	17
GP1BA	D002318	1
GP1BB	D006425	6
GP2	D013568	17
GPAM	D009369	12
GPBAR1	D013568	17
GPC3	D009369	12
GPD1	D009750	14
GPD1L	D004066	2
GPER1	D012140	16
GPHA2	D009369	12
GPHN	D064419	21
GPI	D006425	6
GPIHBP1	D009750	14
GPNMB	D004066	2
GPR143	D005128	4
GPR183	D009369	12
GPR35	D004066	2
GPR55	D009369	12
GPR65	D004066	2
GPSM1	D064419	21
GPX1	D004700	3
GPX3	D009750	14
GPX4	D004066	2
GRB14	D013568	17
GRB7	D009369	12
GREM1	D012140	16
GRIA1	D064419	21
GRIA2	D064419	21
GRIA4	D064419	21
GRIK1	D064419	21
GRIK2	D064419	21
GRIK3	D064419	21
GRIN1	D064419	21
GRIN2A	D009422	13
GRIN2B	D009422	13
GRIN2D	D013568	17
GRIP1	D005128	4
GRK2	D002318	1
GRK5	D004066	2
GRM1	D009422	13
GRM2	D009422	13
GRM3	D009422	13
GRM4	D009422	13
GRM5	D064419	21
GRM6	D005128	4
GRM7	D064419	21
GRM8	D013568	17
GRN	D009422	13
GRP	D009369	12
GSC	D009140	10
GSK3B	D002318	1
GSKIP	D006425	6
GSN	D002318	1
GSR	D004700	3
GSS	D009369	12
GSTA1	D004066	2
GSTA4	D009369	12
GSTA5	D002318	1
GSTM1	D004066	2
GSTM2	D009422	13
GSTM3	D017437	19
GSTM4	D009422	13
GSTM5	D009422	13
GSTO1	D009422	13
GSTP1	D009422	13
GSTT1	D004066	2
GSTT2	D002318	1
GSTZ1	D010038	15
GTF2I	D009369	12
GTPBP1	D004066	2
GTPBP2	D004066	2
GUCA1A	D005128	4
GUCA1B	D005128	4
GUCY1A1	D002318	1
GUCY2C	D004066	2
GUCY2D	D005128	4
GUCY2F	D009369	12
GUSB	D009422	13
GYG1	D002318	1
GZMB	D004066	2
H1-0	D009369	12
H1-2	D009369	12
H1-4	D009369	12
H2AX	D009369	12
H3-3A	D009369	12
HAAO	D009358	11
HABP2	D005261	5
HACE1	D009369	12
HACL1	D004066	2
HADH	D009750	14
HADHA	D002318	1
HADHB	D004066	2
HAND2	D002318	1
HAO2	D004066	2
HARS1	D005128	4
HAS3	D004066	2
HAVCR1	D064419	21
HAVCR2	D006425	6
HBA1	D006425	6
HBB	D007239	8
HBD	D017437	19
HBEGF	D009422	13
HBG1	D017437	19
HCAR2	D017437	19
HCCS	D005128	4
HCN1	D009422	13
HCRT	D009422	13
HCRTR1	D064419	21
HDAC1	D006425	6
HDAC2	D013568	17
HDAC3	D002318	1
HDAC4	D013568	17
HDAC5	D064419	21
HDAC6	D009369	12
HDHD2	D013568	17
HERC2	D004066	2
HERC5	D005261	5
HERPUD1	D064419	21
HES1	D009369	12
HES5	D009422	13
HES7	D009140	10
HEXB	D009422	13
HEY1	D009369	12
HEY2	D002318	1
HFE	D006425	6
HGD	D013568	17
HGF	D012140	16
HHEX	D004066	2
HIC1	D009369	12
HIF1A	D012140	16
HIKESHI	D013568	17
HINT1	D009422	13
HIVEP2	D002318	1
HJV	D004066	2
HK1	D002318	1
HK2	D002318	1
HK3	D004066	2
HLA-A	D009369	12
HLA-B	D007154	7
HLA-C	D009369	12
HLA-DMA	D017437	19
HLA-DPA1	D017437	19
HLA-DPB1	D005261	5
HLA-DQA1	D007154	7
HLA-DQB1	D007154	7
HLA-DRA	D017437	19
HLA-DRB1	D007154	7
HLA-DRB4	D007154	7
HLA-DRB5	D007154	7
HLA-E	D017437	19
HMGA1	D009750	14
HMGA2	D009369	12
HMGB1	D012140	16
HMGCR	D007239	8
HMGCS2	D002318	1
HMGN5	D009369	12
HMGXB4	D009358	11
HMOX1	D012140	16
HNF1A	D009750	14
HNF1B	D004066	2
HNF4A	D004066	2
HNMT	D064419	21
HNRNPA1	D009369	12
HNRNPL	D013568	17
HNRNPU	D009422	13
HOGA1	D004066	2
HOMER1	D064419	21
HOMER2	D064419	21
HOMER3	D009369	12
HOXA10	D005261	5
HOXA11	D005261	5
HOXA13	D005261	5
HOXA5	D009369	12
HOXA9	D009369	12
HOXB13	D009369	12
HOXB3	D013568	17
HOXD10	D009369	12
HOXD11	D009369	12
HOXD13	D006425	6
HOXD9	D009369	12
HP	D002318	1
HP1BP3	D005261	5
HPGD	D009369	12
HPGDS	D004066	2
HPRT1	D013568	17
HPS1	D012140	16
HPS4	D012140	16
HPSE	D009369	12
HPX	D064419	21
HR	D017437	19
HRAS	D009369	12
HRC	D013568	17
HRG	D006425	6
HRH1	D002318	1
HRH2	D002318	1
HRH3	D002318	1
HRH4	D009369	12
HS3ST3B1	D005261	5
HS3ST5	D009369	12
