Gene_1	Gene_2	Expression_Value
S000006187	S000001492	1.37403781
S000006324	S000003769	1.13385976
S000005896	S000000123	1.35107107
S000005958	S000005589	1.20262468
S000000330	S000003949	1.11396012
S000002998	S000003968	1.50456356
S000001410	S000006336	1.26258158
S000005480	S000005399	1.47112277
S000003259	S000005819	1.21255805
S000003350	S000006064	1.41182256
S000003115	S000004336	1.16067901
S000005888	S000000325	1.12800023
S000000003	S000003044	1.14964081
S000003726	S000005760	1.2371067
S000003725	S000005487	1.50956431
S000002908	S000006011	1.18078888
S000004038	S000002826	1.78060857
S000006391	S000006247	1.24217348
S000003350	S000005246	1.41358232
S000006064	S000006000	1.57249324
S000002241	S000005245	1.14260066
S000001280	S000001007	1.58581843
S000005153	S000005760	1.14948466
S000001664	S000001395	1.10709438
S000001410	S000005400	1.29682806
S000000933	S000002233	1.34634901
S000003266	S000001236	1.1634063
S000005750	S000002826	1.12906332
S000006002	S000003091	1.31153604
S000002432	S000003968	1.27014537
S000006247	S000005246	1.46766723
S000000003	S000001007	1.22451769
S000003417	S000002739	1.33204605
S000004440	S000004065	1.53846691
S000002858	S000001025	1.75171989
S000006336	S000001052	1.13668786
S000001767	S000000235	1.15341481
S000001007	S000000235	1.1923867
S000006391	S000000385	1.14593237
S000004574	S000002908	1.12272296
S000005958	S000001489	1.17607803
S000001057	S000001932	1.12106862
S000003317	S000006306	2.13410376
S000004359	S000000385	1.35081873
S000003103	S000002419	1.25893001
S000005153	S000005011	1.18697619
S000006011	S000001765	1.32179333
S000004175	S000003884	1.19397489
S000001331	S000006000	1.19474397
S000000123	S000001489	1.47028695
S000002240	S000002790	1.45514132
S000002998	S000001280	1.61158462
S000003380	S000003103	1.17459687
S000004187	S000006000	1.10864187
S000003906	S000002240	1.54809357
S000002219	S000005802	1.18675412
S000003968	S000004051	1.67913765
S000003674	S000004325	1.14022271
S000004175	S000004038	1.16710878
S000005708	S000001007	1.27823564
S000001489	S000001331	1.44199179
S000003968	S000001236	1.24822019
S000002343	S000003350	1.34187181
S000005321	S000001492	1.27696881
